Date,Close,Bullish_sentiment,Neutral_sentiment,Bearish_sentiment,Mov Avg_sentiment,Spread_sentiment,Average_sentiment,+St. Dev._sentiment,- St. Dev._sentiment
2012-10-31,1412.1600341796875,0.292453,0.27673,0.430818,0.331824125,-0.1383649999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-01,1427.5899658203125,0.357377,0.232787,0.409836,0.335173875,-0.0524589999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-02,1414.199951171875,0.357377,0.232787,0.409836,0.335173875,-0.0524589999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-05,1417.260009765625,0.357377,0.232787,0.409836,0.335173875,-0.0524589999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-06,1428.3900146484375,0.357377,0.232787,0.409836,0.335173875,-0.0524589999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-07,1394.530029296875,0.357377,0.232787,0.409836,0.335173875,-0.0524589999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-08,1377.510009765625,0.384977,0.215962,0.399061,0.337723125,-0.0140839999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-09,1379.8499755859375,0.384977,0.215962,0.399061,0.337723125,-0.0140839999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-12,1380.030029296875,0.384977,0.215962,0.399061,0.337723125,-0.0140839999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-13,1374.530029296875,0.384977,0.215962,0.399061,0.337723125,-0.0140839999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-14,1355.489990234375,0.384977,0.215962,0.399061,0.337723125,-0.0140839999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-15,1353.3299560546875,0.288235,0.223529,0.488235,0.3268775,-0.1999999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-16,1359.8800048828125,0.288235,0.223529,0.488235,0.3268775,-0.1999999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-19,1386.8900146484375,0.288235,0.223529,0.488235,0.3268775,-0.1999999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-20,1387.81005859375,0.288235,0.223529,0.488235,0.3268775,-0.1999999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-21,1391.030029296875,0.288235,0.223529,0.488235,0.3268775,-0.1999999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-23,1409.1500244140625,0.358156,0.234043,0.407801,0.326520625,-0.049645,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-26,1406.2900390625,0.358156,0.234043,0.407801,0.326520625,-0.049645,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-27,1398.93994140625,0.358156,0.234043,0.407801,0.326520625,-0.049645,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-28,1409.9300537109375,0.409266,0.247104,0.343629,0.335352875,0.065637,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-29,1415.949951171875,0.409266,0.247104,0.343629,0.335352875,0.065637,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-11-30,1416.1800537109375,0.409266,0.247104,0.343629,0.335352875,0.065637,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-03,1409.4599609375,0.409266,0.247104,0.343629,0.335352875,0.065637,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-04,1407.050048828125,0.409266,0.247104,0.343629,0.335352875,0.065637,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-05,1409.280029296875,0.409266,0.247104,0.343629,0.335352875,0.065637,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-06,1413.93994140625,0.422222,0.231746,0.346032,0.34991125,0.0761899999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-07,1418.0699462890625,0.422222,0.231746,0.346032,0.34991125,0.0761899999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-10,1418.550048828125,0.422222,0.231746,0.346032,0.34991125,0.0761899999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-11,1427.8399658203125,0.422222,0.231746,0.346032,0.34991125,0.0761899999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-12,1428.47998046875,0.422222,0.231746,0.346032,0.34991125,0.0761899999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-13,1419.449951171875,0.432331,0.266917,0.300752,0.368127125,0.131579,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-14,1413.5799560546875,0.432331,0.266917,0.300752,0.368127125,0.131579,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-17,1430.3599853515625,0.432331,0.266917,0.300752,0.368127125,0.131579,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-18,1446.7900390625,0.432331,0.266917,0.300752,0.368127125,0.131579,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-19,1435.81005859375,0.432331,0.266917,0.300752,0.368127125,0.131579,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-20,1443.68994140625,0.464,0.288,0.248,0.3895705,0.216,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-21,1430.1500244140625,0.464,0.288,0.248,0.3895705,0.216,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-24,1426.6600341796875,0.464,0.288,0.248,0.3895705,0.216,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-26,1419.8299560546875,0.464,0.288,0.248,0.3895705,0.216,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-27,1418.0999755859375,0.44403,0.253731,0.302239,0.400402125,0.141791,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-28,1402.4300537109375,0.44403,0.253731,0.302239,0.400402125,0.141791,0.3761076426708409,0.4773140559726221,0.2749012293690596
2012-12-31,1426.18994140625,0.44403,0.253731,0.302239,0.400402125,0.141791,0.3761076426708409,0.4773140559726221,0.2749012293690596
