Date,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,+St. Dev.,- St. Dev.,High,Low,Close
2002-02-21,0.3636,0.3818,0.2545,0.9999,0.4182625,0.1090999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1104.18,1074.36,1089.84
2002-02-28,0.4444,0.3519,0.2037,1.0,0.409925,0.2407,0.3761076426708409,0.4773140559726221,0.2749012293690596,1131.79,1089.84,1131.78
2002-03-07,0.5333,0.3111,0.1555,0.9999,0.4081,0.3778,0.3761076426708409,0.4773140559726221,0.2749012293690596,1172.76,1130.93,1164.31
2002-03-14,0.5645,0.2903,0.1452,1.0,0.441725,0.4193,0.3761076426708409,0.4773140559726221,0.2749012293690596,1173.03,1151.01,1154.09
2002-03-21,0.5323,0.3548,0.1129,1.0,0.4649,0.4194,0.3761076426708409,0.4773140559726221,0.2749012293690596,1173.94,1151.61,1151.85
2002-03-28,0.5116,0.2558,0.2326,1.0,0.4720375,0.279,0.3761076426708409,0.4773140559726221,0.2749012293690596,1151.04,1131.61,1144.58
2002-04-04,0.4048,0.3929,0.2024,1.0001,0.4757625,0.2024,0.3761076426708409,0.4773140559726221,0.2749012293690596,1147.84,1119.68,1125.4
2002-04-11,0.2821,0.3846,0.3333,1.0,0.4545749999999999,-0.0511999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1131.76,1111.79,1130.47
2002-04-18,0.402,0.3659,0.2317,0.9996,0.459375,0.1703,0.3761076426708409,0.4773140559726221,0.2749012293690596,1133.0,1099.41,1126.07
2002-04-25,0.3667,0.4,0.2333,1.0,0.4496624999999999,0.1334,0.3761076426708409,0.4773140559726221,0.2749012293690596,1125.17,1092.51,1093.14
2002-05-02,0.2703,0.3964,0.3333,1.0,0.4167875,-0.063,0.3761076426708409,0.4773140559726221,0.2749012293690596,1088.32,1063.46,1086.46
2002-05-09,0.3026,0.2895,0.4079,1.0,0.38405,-0.1053,0.3761076426708409,0.4773140559726221,0.2749012293690596,1088.92,1048.96,1088.85
2002-05-16,0.3679,0.3491,0.283,1.0,0.3635,0.0849,0.3761076426708409,0.4773140559726221,0.2749012293690596,1104.23,1053.9,1091.07
2002-05-23,0.2619,0.3333,0.4048,1.0,0.3322875,-0.1428999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1106.59,1075.64,1086.02
