Date,Close,Volume,Bullish_sentiment,Neutral_sentiment,Bearish_sentiment,Mov Avg_sentiment,Spread_sentiment,Average_sentiment,Close_sentiment
2003-04-10,871.5800170898438,1275300000,0.3846,0.3077,0.3077,0.334725,0.0769,0.3761076426708409,865.99
2003-04-17,893.5800170898438,1430600000,0.463,0.2222,0.3148,0.3662875,0.1482,0.3761076426708409,879.91
2003-04-24,911.4299926757812,1648100000,0.63,0.18,0.19,0.4125125,0.44,0.3761076426708409,919.02
2003-05-01,916.2999877929688,1397500000,0.4857,0.2571,0.2571,0.4315624999999999,0.2286,0.3761076426708409,916.92
2003-05-08,920.27001953125,1379600000,0.528,0.288,0.184,0.4547,0.344,0.3761076426708409,934.39
2003-05-15,946.6699829101562,1508700000,0.6279,0.2093,0.1628,0.4796125,0.4651,0.3761076426708409,942.3
2003-05-22,931.8699951171876,1448500000,0.3846,0.2596,0.3558,0.4784124999999999,0.0287999999999999,0.3761076426708409,923.42
2003-05-29,949.6400146484376,1685800000,0.6286,0.2286,0.1429,0.51655,0.4857,0.3761076426708409,963.59
2003-06-05,990.1400146484376,1693100000,0.52,0.288,0.192,0.5334749999999999,0.328,0.3761076426708409,986.24
2003-06-12,998.510009765625,1553100000,0.5,0.2083,0.2917,0.5381,0.2082999999999999,0.3761076426708409,997.48
2003-06-19,994.7000122070312,1530100000,0.5641,0.0769,0.359,0.5298625,0.2051,0.3761076426708409,1010.09
2003-06-26,985.8200073242188,1387400000,0.7143,0.2,0.0857,0.5584375,0.6286,0.3761076426708409,976.22
2003-07-03,985.7000122070312,775900000,0.4118,0.2353,0.3529,0.5439125,0.0589,0.3761076426708409,985.7
2003-07-10,988.7000122070312,1465700000,0.4324,0.2568,0.3108,0.519475,0.1215999999999999,0.3761076426708409,998.14
2003-07-17,981.72998046875,1661400000,0.5126,0.2017,0.2857,0.5354749999999999,0.2268999999999999,0.3761076426708409,993.32
2003-07-24,981.5999755859376,1559000000,0.52,0.1733,0.3067,0.5219,0.2133,0.3761076426708409,998.68
2003-07-31,990.3099975585938,1608000000,0.5154,0.3231,0.1615,0.5213249999999999,0.3539,0.3761076426708409,980.15
2003-08-07,974.1199951171876,1389300000,0.4545,0.2208,0.3247,0.5156375,0.1298,0.3761076426708409,977.59
2003-08-14,990.510009765625,1186800000,0.5056,0.2584,0.236,0.508325,0.2696,0.3761076426708409,990.67
2003-08-21,1003.27001953125,1407100000,0.6296,0.1852,0.1852,0.4977374999999999,0.4444,0.3761076426708409,993.06
2003-08-28,1002.8400268554688,1165200000,0.567,0.2062,0.2268,0.5171375,0.3401999999999999,0.3761076426708409,1008.01
2003-09-04,1027.969970703125,1453900000,0.623,0.2131,0.1639,0.5409625,0.4591,0.3761076426708409,1021.39
2003-09-11,1016.4199829101562,1335900000,0.5814,0.2442,0.1744,0.5495625000000001,0.407,0.3761076426708409,1018.63
2003-09-18,1039.5799560546875,1498800000,0.6275,0.1765,0.1961,0.5630000000000001,0.4313999999999999,0.3761076426708409,1036.3
2003-09-25,1003.27001953125,1530000000,0.5728,0.2039,0.2233,0.570175,0.3495,0.3761076426708409,996.85
2003-10-02,1020.239990234375,1269300000,0.5,0.2143,0.2857,0.5758624999999999,0.2143,0.3761076426708409,1029.85
2003-10-09,1038.72998046875,1578700000,0.5758,0.1919,0.2323,0.5846375,0.3434999999999999,0.3761076426708409,1038.06
2003-10-16,1050.0699462890625,1417700000,0.6034,0.2586,0.1379,0.5813624999999999,0.4655,0.3761076426708409,1046.76
2003-10-23,1033.77001953125,1604300000,0.5278,0.3056,0.1667,0.5764625,0.3611000000000001,0.3761076426708409,1030.36
2003-10-30,1046.93994140625,1629700000,0.5781,0.2344,0.1875,0.57085,0.3905999999999999,0.3761076426708409,1048.11
2003-11-06,1058.050048828125,1453900000,0.5758,0.2576,0.1667,0.57015,0.4091,0.3761076426708409,1051.81
2003-11-13,1058.4100341796875,1383000000,0.5333,0.3222,0.1444,0.5583750000000001,0.3889,0.3761076426708409,1058.53
2003-11-20,1033.6500244140625,1326700000,0.5323,0.2581,0.2097,0.5533125000000001,0.3226,0.3761076426708409,1042.44
2003-12-04,1069.719970703125,1463100000,0.6937,0.1622,0.1441,0.5810250000000001,0.5496,0.3761076426708409,1064.73
2003-12-11,1071.2099609375,1441100000,0.5526,0.2368,0.2105,0.574675,0.3420999999999999,0.3761076426708409,1074.14
2003-12-18,1089.1800537109375,1579900000,0.602,0.2041,0.1939,0.5839500000000001,0.4081,0.3761076426708409,1076.48
2003-12-26,1095.8900146484375,356070000,0.6552,0.1724,0.1724,0.5935875,0.4828,0.3761076426708409,1095.89
2004-01-08,1131.9200439453125,1868400000,0.6716,0.1493,0.1791,0.6169125,0.4924999999999999,0.3761076426708409,1126.33
2004-01-15,1132.050048828125,1695000000,0.6629,0.236,0.1011,0.6332374999999999,0.5618000000000001,0.3761076426708409,1130.52
2004-01-22,1143.93994140625,1693700000,0.6951,0.1707,0.1341,0.64465,0.561,0.3761076426708409,1147.62
2004-01-29,1134.1099853515625,1921900000,0.5688,0.2813,0.15,0.6290374999999999,0.4187999999999999,0.3761076426708409,1128.48
2004-02-05,1128.5899658203125,1566600000,0.5091,0.2727,0.2182,0.6236,0.2909,0.3761076426708409,1126.52
2004-02-12,1152.1099853515625,1464300000,0.561,0.2927,0.1463,0.618475,0.4147,0.3761076426708409,1157.76
